state,metric,rank_29th,rank_30th,rank_change,movement
Wisconsin,capital_disbursement_perlm_score,28,22,-6,moved up
Alabama,capital_disbursement_perlm_score,13,8,-5,moved up
Florida,capital_disbursement_perlm_score,43,38,-5,moved up
Mississippi,capital_disbursement_perlm_score,21,16,-5,moved up
North Carolina,capital_disbursement_perlm_score,8,3,-5,moved up
Tennessee,capital_disbursement_perlm_score,17,12,-5,moved up
Rhode Island,capital_disbursement_perlm_score,31,27,-4,moved up
Iowa,capital_disbursement_perlm_score,42,39,-3,moved up
Kansas,capital_disbursement_perlm_score,47,44,-3,moved up
New Hampshire,capital_disbursement_perlm_score,18,15,-3,moved up
Wyoming,capital_disbursement_perlm_score,24,21,-3,moved up
Hawaii,capital_disbursement_perlm_score,9,7,-2,moved up
Alaska,capital_disbursement_perlm_score,49,48,-1,moved up
Kentucky,capital_disbursement_perlm_score,15,14,-1,moved up
Connecticut,capital_disbursement_perlm_score,19,19,0,no change
Delaware,capital_disbursement_perlm_score,5,5,0,no change
Massachusetts,capital_disbursement_perlm_score,6,6,0,no change
Nebraska,capital_disbursement_perlm_score,26,26,0,no change
South Carolina,capital_disbursement_perlm_score,1,1,0,no change
Virginia,capital_disbursement_perlm_score,2,2,0,no change
Washington,capital_disbursement_perlm_score,50,50,0,no change
Arkansas,capital_disbursement_perlm_score,23,24,1,moved down
California,capital_disbursement_perlm_score,41,42,1,moved down
Idaho,capital_disbursement_perlm_score,48,49,1,moved down
Illinois,capital_disbursement_perlm_score,35,36,1,moved down
Indiana,capital_disbursement_perlm_score,46,47,1,moved down
Maine,capital_disbursement_perlm_score,22,23,1,moved down
Missouri,capital_disbursement_perlm_score,3,4,1,moved down
New Jersey,capital_disbursement_perlm_score,44,45,1,moved down
New Mexico,capital_disbursement_perlm_score,12,13,1,moved down
Ohio,capital_disbursement_perlm_score,10,11,1,moved down
Montana,capital_disbursement_perlm_score,16,18,2,moved down
Oklahoma,capital_disbursement_perlm_score,38,40,2,moved down
Arizona,capital_disbursement_perlm_score,29,32,3,moved down
Louisiana,capital_disbursement_perlm_score,14,17,3,moved down
North Dakota,capital_disbursement_perlm_score,30,33,3,moved down
Pennsylvania,capital_disbursement_perlm_score,7,10,3,moved down
West Virginia,capital_disbursement_perlm_score,4,9,5,moved down
Texas,capital_disbursement_perlm_score,34,41,7,moved down
Colorado,capital_disbursement_perlm_score,27,35,8,moved down
Georgia,capital_disbursement_perlm_score,11,20,9,moved down
South Dakota,capital_disbursement_perlm_score,25,34,9,moved down
Nevada,capital_disbursement_perlm_score,36,46,10,moved down
Utah,capital_disbursement_perlm_score,33,43,10,moved down
Maryland,capital_disbursement_perlm_score,20,37,17,moved down
Delaware,maintenance_disbursement_perlm_score,39,22,-17,moved up
South Dakota,maintenance_disbursement_perlm_score,40,23,-17,moved up
Alaska,maintenance_disbursement_perlm_score,45,32,-13,moved up
Rhode Island,maintenance_disbursement_perlm_score,29,16,-13,moved up
Kentucky,maintenance_disbursement_perlm_score,23,14,-9,moved up
New Jersey,maintenance_disbursement_perlm_score,42,33,-9,moved up
Utah,maintenance_disbursement_perlm_score,38,30,-8,moved up
Wyoming,maintenance_disbursement_perlm_score,28,21,-7,moved up
Michigan,maintenance_disbursement_perlm_score,19,13,-6,moved up
North Dakota,maintenance_disbursement_perlm_score,8,2,-6,moved up
Iowa,maintenance_disbursement_perlm_score,24,19,-5,moved up
Washington,maintenance_disbursement_perlm_score,50,45,-5,moved up
Kansas,maintenance_disbursement_perlm_score,21,18,-3,moved up
Nebraska,maintenance_disbursement_perlm_score,30,27,-3,moved up
Arizona,maintenance_disbursement_perlm_score,12,10,-2,moved up
Connecticut,maintenance_disbursement_perlm_score,11,9,-2,moved up
Hawaii,maintenance_disbursement_perlm_score,9,7,-2,moved up
Oregon,maintenance_disbursement_perlm_score,41,39,-2,moved up
Wisconsin,maintenance_disbursement_perlm_score,14,12,-2,moved up
Oklahoma,maintenance_disbursement_perlm_score,48,47,-1,moved up
West Virginia,maintenance_disbursement_perlm_score,16,15,-1,moved up
Alabama,maintenance_disbursement_perlm_score,1,1,0,no change
Florida,maintenance_disbursement_perlm_score,34,34,0,no change
Indiana,maintenance_disbursement_perlm_score,49,49,0,no change
Minnesota,maintenance_disbursement_perlm_score,43,43,0,no change
New Mexico,maintenance_disbursement_perlm_score,4,4,0,no change
Arkansas,maintenance_disbursement_perlm_score,5,6,1,moved down
Mississippi,maintenance_disbursement_perlm_score,2,3,1,moved down
Missouri,maintenance_disbursement_perlm_score,10,11,1,moved down
California,maintenance_disbursement_perlm_score,44,46,2,moved down
Illinois,maintenance_disbursement_perlm_score,18,20,2,moved down
Montana,maintenance_disbursement_perlm_score,36,38,2,moved down
New York,maintenance_disbursement_perlm_score,46,48,2,moved down
Ohio,maintenance_disbursement_perlm_score,6,8,2,moved down
South Carolina,maintenance_disbursement_perlm_score,3,5,2,moved down
Maine,maintenance_disbursement_perlm_score,37,40,3,moved down
Maryland,maintenance_disbursement_perlm_score,32,35,3,moved down
Vermont,maintenance_disbursement_perlm_score,47,50,3,moved down
Virginia,maintenance_disbursement_perlm_score,26,29,3,moved down
Colorado,maintenance_disbursement_perlm_score,33,37,4,moved down
Pennsylvania,maintenance_disbursement_perlm_score,20,24,4,moved down
Texas,maintenance_disbursement_perlm_score,22,26,4,moved down
Idaho,maintenance_disbursement_perlm_score,35,41,6,moved down
Louisiana,maintenance_disbursement_perlm_score,25,31,6,moved down
Tennessee,maintenance_disbursement_perlm_score,17,25,8,moved down
New Hampshire,maintenance_disbursement_perlm_score,27,36,9,moved down
North Carolina,maintenance_disbursement_perlm_score,7,17,10,moved down
Nevada,maintenance_disbursement_perlm_score,31,42,11,moved down
Georgia,maintenance_disbursement_perlm_score,13,28,15,moved down
Massachusetts,maintenance_disbursement_perlm_score,15,44,29,moved down
Louisiana,other_disbursement_perlm_score,33,9,-24,moved up
Arkansas,other_disbursement_perlm_score,26,7,-19,moved up
Idaho,other_disbursement_perlm_score,43,35,-8,moved up
California,other_disbursement_perlm_score,48,41,-7,moved up
Utah,other_disbursement_perlm_score,41,34,-7,moved up
Alaska,other_disbursement_perlm_score,28,23,-5,moved up
New Mexico,other_disbursement_perlm_score,31,26,-5,moved up
Rhode Island,other_disbursement_perlm_score,11,6,-5,moved up
Michigan,other_disbursement_perlm_score,21,17,-4,moved up
Oklahoma,other_disbursement_perlm_score,44,40,-4,moved up
Mississippi,other_disbursement_perlm_score,12,10,-2,moved up
Montana,other_disbursement_perlm_score,30,28,-2,moved up
North Dakota,other_disbursement_perlm_score,29,27,-2,moved up
Ohio,other_disbursement_perlm_score,17,15,-2,moved up
Pennsylvania,other_disbursement_perlm_score,39,37,-2,moved up
Alabama,other_disbursement_perlm_score,5,4,-1,moved up
Hawaii,other_disbursement_perlm_score,6,5,-1,moved up
Iowa,other_disbursement_perlm_score,19,18,-1,moved up
New Hampshire,other_disbursement_perlm_score,20,19,-1,moved up
New York,other_disbursement_perlm_score,49,48,-1,moved up
Florida,other_disbursement_perlm_score,13,13,0,no change
Illinois,other_disbursement_perlm_score,32,32,0,no change
Indiana,other_disbursement_perlm_score,3,3,0,no change
Kentucky,other_disbursement_perlm_score,24,24,0,no change
Maryland,other_disbursement_perlm_score,42,42,0,no change
South Carolina,other_disbursement_perlm_score,1,1,0,no change
Tennessee,other_disbursement_perlm_score,2,2,0,no change
Vermont,other_disbursement_perlm_score,46,46,0,no change
Washington,other_disbursement_perlm_score,50,50,0,no change
Wisconsin,other_disbursement_perlm_score,47,47,0,no change
Georgia,other_disbursement_perlm_score,7,8,1,moved down
Nevada,other_disbursement_perlm_score,35,36,1,moved down
Oregon,other_disbursement_perlm_score,37,38,1,moved down
Wyoming,other_disbursement_perlm_score,14,16,2,moved down
Connecticut,other_disbursement_perlm_score,22,25,3,moved down
North Carolina,other_disbursement_perlm_score,9,12,3,moved down
West Virginia,other_disbursement_perlm_score,8,11,3,moved down
Kansas,other_disbursement_perlm_score,45,49,4,moved down
Missouri,other_disbursement_perlm_score,27,31,4,moved down
Nebraska,other_disbursement_perlm_score,16,20,4,moved down
New Jersey,other_disbursement_perlm_score,40,44,4,moved down
South Dakota,other_disbursement_perlm_score,25,29,4,moved down
Texas,other_disbursement_perlm_score,34,39,5,moved down
Arizona,other_disbursement_perlm_score,36,43,7,moved down
Delaware,other_disbursement_perlm_score,23,30,7,moved down
Maine,other_disbursement_perlm_score,15,22,7,moved down
Minnesota,other_disbursement_perlm_score,38,45,7,moved down
Virginia,other_disbursement_perlm_score,4,14,10,moved down
Massachusetts,other_disbursement_perlm_score,10,21,11,moved down
Colorado,other_disbursement_perlm_score,18,33,15,moved down
Alabama,other_fatalities_per_100m_vmt_score,25,NA,NA,missing
Alaska,other_fatalities_per_100m_vmt_score,5,NA,NA,missing
Arizona,other_fatalities_per_100m_vmt_score,48,NA,NA,missing
Arkansas,other_fatalities_per_100m_vmt_score,37,NA,NA,missing
California,other_fatalities_per_100m_vmt_score,39,NA,NA,missing
Colorado,other_fatalities_per_100m_vmt_score,28,NA,NA,missing
Connecticut,other_fatalities_per_100m_vmt_score,23,NA,NA,missing
Delaware,other_fatalities_per_100m_vmt_score,35,NA,NA,missing
Florida,other_fatalities_per_100m_vmt_score,20,NA,NA,missing
Georgia,other_fatalities_per_100m_vmt_score,24,NA,NA,missing
Hawaii,other_fatalities_per_100m_vmt_score,1,NA,NA,missing
Idaho,other_fatalities_per_100m_vmt_score,34,NA,NA,missing
Illinois,other_fatalities_per_100m_vmt_score,30,NA,NA,missing
Indiana,other_fatalities_per_100m_vmt_score,11,NA,NA,missing
Iowa,other_fatalities_per_100m_vmt_score,19,NA,NA,missing
Kansas,other_fatalities_per_100m_vmt_score,31,NA,NA,missing
Kentucky,other_fatalities_per_100m_vmt_score,50,NA,NA,missing
Louisiana,other_fatalities_per_100m_vmt_score,40,NA,NA,missing
Maine,other_fatalities_per_100m_vmt_score,13,NA,NA,missing
Maryland,other_fatalities_per_100m_vmt_score,14,NA,NA,missing
Massachusetts,other_fatalities_per_100m_vmt_score,2,NA,NA,missing
